cluster_id,latitude,longitude,first_seen,last_seen,duration_hours,detection_count,average_frp,maximum_frp,average_brightness,detections_7d,detections_30d,unique_detection_days,persistence,confidence,primary_satellite,distance_to_center_km,detection_ids
EVENT_11881,31.21736,75.82658,2026-05-16 07:44,2026-05-16 07:44,0.0,1,5.39,5.39,340.23,1,1,1,Transient,low,N21,38.612,['FIRMS_N21_20260516_0744_31.2174N_75.8266E']
EVENT_11882,31.21297,75.74205,2026-05-16 07:44,2026-05-16 07:44,0.0,1,13.45,13.45,344.86,1,1,1,Transient,nominal,N21,40.363,['FIRMS_N21_20260516_0744_31.2130N_75.7421E']
EVENT_11883,31.26846,75.97756,2026-05-16 07:44,2026-05-16 07:44,0.0,1,6.33,6.33,342.69,1,1,1,Transient,nominal,N21,44.326,['FIRMS_N21_20260516_0744_31.2685N_75.9776E']
EVENT_11884,31.1908,75.563,2026-05-16 07:44,2026-05-16 07:44,0.0,1,6.94,6.94,339.44,1,1,1,Transient,low,N21,47.434,['FIRMS_N21_20260516_0744_31.1908N_75.5630E']
EVENT_11885,31.27209,75.97665,2026-05-16 07:44,2026-05-16 07:44,0.0,1,6.33,6.33,346.63,1,1,1,Transient,nominal,N21,44.709,['FIRMS_N21_20260516_0744_31.2721N_75.9767E']
EVENT_11886,31.24244,75.673123,2026-05-16 07:44,2026-05-16 07:44,0.0,3,10.09,13.7,341.06,3,3,1,Transient,nominal,N21,46.092,"['FIRMS_N21_20260516_0744_31.2428N_75.6751E', 'FIRMS_N21_20260516_0744_31.2404N_75.6726E', 'FIRMS_N21_20260516_0744_31.2441N_75.6717E']"
EVENT_11887,31.23443,75.64159,2026-05-16 07:44,2026-05-16 07:44,0.0,1,9.58,9.58,343.06,1,1,1,Transient,low,N21,46.804,['FIRMS_N21_20260516_0744_31.2344N_75.6416E']
EVENT_11888,31.27602,75.71759,2026-05-16 07:44,2026-05-16 07:44,0.0,1,11.43,11.43,341.87,1,1,1,Transient,low,N21,47.739,['FIRMS_N21_20260516_0744_31.2760N_75.7176E']
EVENT_11889,30.93719,75.94748,2026-05-16 07:44,2026-05-16 07:44,0.0,1,5.84,5.84,339.39,1,1,1,Transient,low,N21,8.29,['FIRMS_N21_20260516_0744_30.9372N_75.9475E']
EVENT_1189,31.09074,75.90042,2025-05-04 07:12,2025-05-04 08:00,0.8,2,2.92,4.06,336.62,2,2,1,Transient,nominal,N20,23.92,"['FIRMS_N20_20250504_0800_31.0901N_75.9010E', 'FIRMS_N21_20250504_0712_31.0913N_75.8998E']"
EVENT_11890,30.93824,75.97366,2026-05-16 07:44,2026-05-16 07:44,0.0,1,10.57,10.57,345.58,1,1,1,Transient,nominal,N21,9.996,['FIRMS_N21_20260516_0744_30.9382N_75.9737E']
EVENT_11891,30.95781,76.07906,2026-05-16 07:44,2026-05-16 07:44,0.0,1,7.62,7.62,337.9,1,1,1,Transient,low,N21,19.5,['FIRMS_N21_20260516_0744_30.9578N_76.0791E']
EVENT_11892,30.96258,76.16626,2026-05-16 07:44,2026-05-16 07:44,0.0,1,13.42,13.42,345.1,1,1,1,Transient,nominal,N21,27.313,['FIRMS_N21_20260516_0744_30.9626N_76.1663E']
